epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.94347,2.22318,3.52724,4.72519,0.00653,14.6086,0.0085,0.05897,0.01657,0.01408,0.00459,0.07041,0.00991,0.00329,1.78227,3.06752,4.11196,0.00541,0,0.00021,7e-05,0.00021,7e-05,0.00021,7e-05,0.00021,7e-05
2,6.782,2.20013,3.377,4.6562,0.00645,14.4204,0.02787,0.06816,0.02403,0.0213,0.00497,0.08098,0.00461,0.00169,1.77266,3.12205,4.11167,0.00536,0,0.00044109,0.00014703,0.00044109,0.00014703,0.00044109,0.00014703,0.00044109,0.00014703
3,8.23538,2.15789,3.26199,4.69297,0.00612,13.2795,0.03326,0.05983,0.02548,0.02359,0.00465,0.08686,0.0038,0.00142,1.76876,3.13265,4.12821,0.00536,0,0.000662676,0.000220892,0.000662676,0.000220892,0.000662676,0.000220892,0.000662676,0.000220892
4,9.96786,2.21609,3.29987,4.66376,0.00639,12.3033,0.02983,0.05844,0.02453,0.02211,0.00426,0.06848,0.00903,0.00305,1.78519,3.08027,4.15313,0.00536,0,0.000874758,0.000291586,0.000874758,0.000291586,0.000874758,0.000291586,0.000874758,0.000291586
5,11.4233,2.14933,3.20836,4.65629,0.00625,11.0273,0.0176,0.05705,0.01459,0.01345,0.00374,0.06293,0.00469,0.00207,1.7717,3.04055,4.16196,0.00524,0,0.00107734,0.000359112,0.00107734,0.000359112,0.00107734,0.000359112,0.00107734,0.000359112
6,12.8836,2.22352,3.24268,4.62691,0.00573,9.5229,0.00626,0.04786,0.00646,0.00537,0.00956,0.08237,0.00752,0.00522,1.73023,3.03892,4.21117,0.00508,0,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347
7,14.2816,2.11652,3.21736,4.61801,0.00573,8.10803,0.00415,0.04786,0.0096,0.00818,0.00654,0.08184,0.00642,0.00448,1.72558,2.97818,4.2103,0.00501,0,0.00145398,0.00048466,0.00145398,0.00048466,0.00145398,0.00048466,0.00145398,0.00048466
8,15.5924,2.14533,3.27942,4.65792,0.00591,6.85484,0.00254,0.04006,0.0188,0.01794,0.00528,0.08045,0.00486,0.00305,1.72377,2.92165,4.19733,0.00502,0,0.00162805,0.000542682,0.00162805,0.000542682,0.00162805,0.000542682,0.00162805,0.000542682
9,16.8193,2.07629,3.14778,4.63106,0.00598,5.80625,0.0025,0.04006,0.00982,0.00938,0.00548,0.0969,0.00426,0.00237,1.72975,2.92707,4.16733,0.00506,0,0.00179261,0.000597536,0.00179261,0.000597536,0.00179261,0.000597536,0.00179261,0.000597536
10,18.0411,2.18698,3.178,4.59944,0.00598,4.95904,0.0025,0.04006,0.00982,0.00938,0.00548,0.0969,0.00426,0.00237,1.72975,2.92707,4.16733,0.00506,0,0.00194767,0.000649222,0.00194767,0.000649222,0.00194767,0.000649222,0.00194767,0.000649222
11,19.4926,2.09424,3.21369,4.54263,0.00562,4.18478,0.00276,0.04006,0.00972,0.00923,0.00491,0.09658,0.00349,0.00176,1.69471,2.92746,4.16689,0.0049,0,0.00209322,0.00069774,0.00209322,0.00069774,0.00209322,0.00069774,0.00209322,0.00069774
12,20.7721,1.96631,3.05312,4.61109,0.00521,3.96082,0.00257,0.03868,0.01775,0.01728,0.00551,0.09017,0.0034,0.00194,1.68604,2.88441,4.15397,0.00481,0,0.00222927,0.00074309,0.00222927,0.00074309,0.00222927,0.00074309,0.00222927,0.00074309
13,22.0492,2.03681,3.09936,4.53843,0.00532,4.10962,0.00257,0.03868,0.01775,0.01728,0.00551,0.09017,0.0034,0.00194,1.68604,2.88441,4.15397,0.00481,0,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,23.3703,1.93528,3.00619,4.54889,0.00527,3.73689,0.004,0.04006,0.01054,0.00962,0.00658,0.10043,0.00461,0.00247,1.6415,2.81442,4.12864,0.00466,0,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,24.7788,1.97925,2.97852,4.50665,0.00505,4.0441,0.00394,0.05534,0.00791,0.00727,0.0069,0.11186,0.00506,0.00272,1.62726,2.8107,4.09467,0.00466,0,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,25.992,2.00979,3.03319,4.49683,0.00553,4.19491,0.00394,0.05534,0.00791,0.00727,0.0069,0.11186,0.00506,0.00272,1.62726,2.8107,4.09467,0.00466,0,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,27.2484,1.83614,2.86721,4.48908,0.00544,3.60722,0.00527,0.07201,0.00954,0.00778,0.00831,0.10545,0.0066,0.0029,1.63614,2.74759,4.04896,0.00475,0,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,28.5812,1.94996,2.9534,4.47681,0.00532,4.08454,0.00527,0.07201,0.00954,0.00778,0.00831,0.10545,0.0066,0.0029,1.63614,2.74759,4.04896,0.00475,0,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,29.8712,1.90996,3.05014,4.44511,0.00539,2.98384,0.00383,0.07062,0.009,0.00812,0.00823,0.1438,0.007,0.00306,1.60766,2.72061,4.02881,0.00464,0,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,31.144,1.8358,2.89522,4.46173,0.00521,3.65954,0.00453,0.07703,0.00893,0.00783,0.0091,0.1438,0.0071,0.00359,1.60756,2.72281,3.97997,0.00471,0,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
